SERVICE,2TSAT,,,,,,,,
LINE,BCC,,,,,,,,
DIRECTION,Research Drive,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - Duke / VA Hospitals-Rearch Drive-Golden Belt,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,
TPNAME,,Main St at Golden Belt,Main St at Iredell St,Research Dr at Circuit Dr,,,,,
STOPID,,6383,6390,6670,,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,WEST,952,1004,1013,,,,,
2,WEST,1007,1019,1028,,,,,
3,WEST,1022,1034,1043,,,,,
4,WEST,1037,1049,1058,,,,,
5,WEST,1052,1104,1113,,,,,
6,WEST,1107,1119,1128,,,,,
7,WEST,1122,1134,1143,,,,,
8,WEST,1137,1149,1158,,,,,
9,WEST,1152,1204,1213,,,,,
10,WEST,1207,1219,1228,,,,,
11,WEST,1222,1234,1243,,,,,
12,WEST,1237,1249,1258,,,,,
13,WEST,1252,1304,1313,,,,,
14,WEST,1307,1319,1328,,,,,
15,WEST,1322,1334,1343,,,,,
16,WEST,1337,1349,1358,,,,,
17,WEST,1352,1404,1413,,,,,
18,WEST,1407,1419,1428,,,,,
19,WEST,1422,1434,1443,,,,,
20,WEST,1437,1449,1458,,,,,
21,WEST,1452,1504,1513,,,,,
22,WEST,1507,1519,1528,,,,,
23,WEST,1522,1534,1543,,,,,
24,WEST,1537,1549,1558,,,,,
25,WEST,1552,1604,1613,,,,,
26,WEST,1607,1619,1628,,,,,
27,WEST,1622,1634,1643,,,,,
28,WEST,1637,1649,1658,,,,,
29,WEST,1652,1704,1713,,,,,
30,WEST,1707,1719,1728,,,,,
31,WEST,1722,1734,1743,,,,,
32,WEST,1737,1749,1758,,,,,
33,WEST,1752,1804,1813,,,,,
34,WEST,1807,1819,1828,,,,,
35,WEST,1822,1834,1843,,,,,
36,WEST,1837,1849,1858,,,,,
37,WEST,1852,1904,1913,,,,,
38,WEST,1907,1919,1928,,,,,
39,WEST,1922,1934,1943,,,,,
40,WEST,1937,1949,1958,,,,,
41,WEST,1952,2004,2013,,,,,
42,WEST,2007,2019,2028,,,,,
43,WEST,2022,2034,2043,,,,,
44,WEST,2037,2049,2058,,,,,
45,WEST,2052,2104,2113,,,,,
46,WEST,2107,2119,2128,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
