SERVICE,1TWKD,,,,,,,,
LINE,BCC,,,,,,,,
DIRECTION,Golden Belt,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - Duke / VA Hospitals-Rearch Drive-Golden Belt,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,
TPNAME,,Research Dr at Circuit Dr,Main St at Gregson St,Main St at Golden Belt,,,,,
STOPID,,6670,5637,6383,,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,EAST,659,710,721,,,,,
2,EAST,716,727,738,,,,,
3,EAST,733,744,755,,,,,
4,EAST,750,801,812,,,,,
5,EAST,807,818,829,,,,,
6,EAST,824,835,846,,,,,
7,EAST,841,852,903,,,,,
8,EAST,858,909,920,,,,,
9,EAST,915,926,937,,,,,
10,EAST,932,943,954,,,,,
11,EAST,949,1000,1011,,,,,
12,EAST,1006,1017,1028,,,,,
13,EAST,1023,1034,1045,,,,,
14,EAST,1040,1051,1102,,,,,
15,EAST,1057,1108,1119,,,,,
16,EAST,1114,1125,1136,,,,,
17,EAST,1131,1142,1153,,,,,
18,EAST,1148,1159,1210,,,,,
19,EAST,1205,1216,1227,,,,,
20,EAST,1222,1233,1244,,,,,
21,EAST,1239,1250,1301,,,,,
22,EAST,1256,1307,1318,,,,,
23,EAST,1313,1324,1335,,,,,
24,EAST,1330,1341,1352,,,,,
25,EAST,1347,1358,1409,,,,,
26,EAST,1404,1415,1426,,,,,
27,EAST,1421,1432,1443,,,,,
28,EAST,1438,1449,1500,,,,,
29,EAST,1455,1506,1517,,,,,
30,EAST,1512,1523,1534,,,,,
31,EAST,1529,1540,1551,,,,,
32,EAST,1546,1557,1608,,,,,
33,EAST,1603,1614,1625,,,,,
34,EAST,1620,1631,1642,,,,,
35,EAST,1637,1648,1659,,,,,
36,EAST,1654,1705,1716,,,,,
37,EAST,1711,1722,1733,,,,,
38,EAST,1728,1739,1750,,,,,
39,EAST,1745,1756,1807,,,,,
40,EAST,1803,1812,1822,,,,,
41,EAST,1818,1827,1837,,,,,
42,EAST,1833,1842,1852,,,,,
43,EAST,1848,1857,1907,,,,,
44,EAST,1903,1912,1922,,,,,
45,EAST,1918,1927,1937,,,,,
46,EAST,1933,1942,1952,,,,,
47,EAST,1948,1957,2007,,,,,
48,EAST,2003,2012,2022,,,,,
49,EAST,2018,2027,2037,,,,,
50,EAST,2033,2042,2052,,,,,
51,EAST,2048,2057,2107,,,,,
52,EAST,2103,2112,2122,,,,,
