SERVICE,2TSAT,,,,
LINE,1,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Northgate-North Pointe-Guess Road,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Horton Rd at Guess Rd,Guess Rd at Lamar St,Club Blvd at Dollar Ave,Durham Station 
STOPID,,6203,6114,5897,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,1932,1939,1945,1955
2,INBOUND,2032,2039,2045,2055
3,INBOUND,2132,2139,2145,2155
4,INBOUND,2232,2239,2245,2255
5,INBOUND,2332,2339,2345,2355
