SERVICE,2TSAT,,,,,,,,,
LINE,1,,,,,,,,,
DIRECTION,Guess Road,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Northgate-North Pointe-Guess Road,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,
TPNAME,,Durham Station ,Club Blvd at Northgate Mall,North Pointe Dr at Kroger (OB),Hillandale Rd at Croasdaile Commons,Horton Rd at Guess Rd,,,,
STOPID,,5774,5178,5579,5590,6203,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,OUTBOUND,1900,1909,1918,1923,1932,,,,
2,OUTBOUND,2000,2009,2018,2023,2032,,,,
3,OUTBOUND,2100,2109,2118,2123,2132,,,,
4,OUTBOUND,2200,2209,2218,2223,2232,,,,
5,OUTBOUND,2300,2309,2318,2323,2332,,,,
6,OUTBOUND,2400,2409,2418,2423,2432,,,,
,,,,,,,,,,
,,,,,,,,,,
