SERVICE,"3TSUN, 4TRSA",,,,,
LINE,1,,,,,
DIRECTION,Guess Road,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - Northgate-North Pointe-Guess Road,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Club Blvd at Northgate Mall,North Pointe Dr at Kroger (OB),Hillandale Rd at Croasdaile Commons,Horton Rd at Guess Rd
STOPID,,5774,5178,5579,5590,6203
,,,,,,
RUNS,,,,,,
,,,,,,
1,OUTBOUND,700,709,718,723,732
2,OUTBOUND,800,809,818,823,832
3,OUTBOUND,900,909,918,923,932
4,OUTBOUND,1000,1009,1018,1023,1032
5,OUTBOUND,1100,1109,1118,1123,1132
6,OUTBOUND,1200,1209,1218,1223,1232
7,OUTBOUND,1300,1309,1318,1323,1332
8,OUTBOUND,1400,1409,1418,1423,1432
9,OUTBOUND,1500,1509,1518,1523,1532
10,OUTBOUND,1600,1609,1618,1623,1632
11,OUTBOUND,1700,1709,1718,1723,1732
12,OUTBOUND,1800,1809,1818,1823,1832
13,OUTBOUND,1900,1909,1918,1923,1932
14,OUTBOUND,2000,2009,2018,2023,2032
15,OUTBOUND,2100,2109,2118,2123,2132
