SERVICE,"3TSUN, 4TRSA",,,,,,,,,,,,
LINE,10,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,New Hope Commons,McFarland Dr at Witherspoon Blvd,University Dr at Westgate Dr (NB),Chapel Hill Rd at Palmer St,Durham Station ,,,,,,,
STOPID,,5663,1901,5261,5394,5774,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,613,617,628,643,655,,,,,,,
2,INBOUND,713,717,728,743,755,,,,,,,
3,INBOUND,813,817,828,843,855,,,,,,,
4,INBOUND,913,917,928,943,955,,,,,,,
5,INBOUND,1013,1017,1028,1043,1055,,,,,,,
6,INBOUND,1113,1117,1128,1143,1155,,,,,,,
7,INBOUND,1213,1217,1228,1243,1255,,,,,,,
8,INBOUND,1313,1317,1328,1343,1355,,,,,,,
9,INBOUND,1413,1417,1428,1443,1455,,,,,,,
10,INBOUND,1513,1517,1528,1543,1555,,,,,,,
11,INBOUND,1613,1617,1628,1643,1655,,,,,,,
12,INBOUND,1713,1717,1728,1743,1755,,,,,,,
13,INBOUND,1813,1817,1828,1843,1855,,,,,,,
14,INBOUND,1913,1917,1928,1943,1955,,,,,,,
15,INBOUND,2013,2017,2028,2043,2055,,,,,,,
