SERVICE,"3TSUN, 4TRSA",,,,,
LINE,10,,,,,
DIRECTION,New Hope Commons,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Chapel Hill Rd at Lakewood Shopping,University Dr at Westgate Dr (SB),Witherspoon Blvd P&R,New Hope Commons
STOPID,,5774,5754,5133,6197,5663
,,,,,,
RUNS,,,,,,
,,,,,,
1,OUTBOUND,700,709,723,735,741
2,OUTBOUND,800,809,823,835,841
3,OUTBOUND,900,909,923,935,941
4,OUTBOUND,1000,1009,1023,1035,1041
5,OUTBOUND,1100,1109,1123,1135,1141
6,OUTBOUND,1200,1209,1223,1235,1241
7,OUTBOUND,1300,1309,1323,1335,1341
8,OUTBOUND,1400,1409,1423,1435,1441
9,OUTBOUND,1500,1509,1523,1535,1541
10,OUTBOUND,1600,1609,1623,1635,1641
11,OUTBOUND,1700,1709,1723,1735,1741
12,OUTBOUND,1800,1809,1823,1835,1841
13,OUTBOUND,1900,1909,1923,1935,1941
14,OUTBOUND,2000,2009,2023,2035,2041
15,OB LAST,2100,2109,2123,,
