SERVICE,1TWKD,,,,,,,,,,,,
LINE,10,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,New Hope Commons,McFarland Dr at Witherspoon Blvd,University Dr at Westgate Dr (NB),Chapel Hill Rd at Palmer St,Durham Station ,,,,,,,
STOPID,,5663,1901,5261,5394,5774,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,1913,1917,1928,1943,1955,,,,,,,
2,INBOUND,2013,2017,2028,2043,2055,,,,,,,
3,INBOUND,2113,2117,2128,2143,2155,,,,,,,
4,INBOUND,2213,2217,2228,2243,2255,,,,,,,
5,INBOUND,2313,2317,2328,2343,2355,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
