SERVICE,1TWKD,,,,,,,,,,,,
LINE,10,,,,,,,,,,,,
DIRECTION,New Hope Commons,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Durham Station ,Chapel Hill Rd at Lakewood Shopping,University Dr at Westgate Dr (SB),Witherspoon Blvd P&R,New Hope Commons,,,,,,,
STOPID,,5774,5754,5133,6197,5663,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,1900,1909,1923,1935,1941,,,,,,,
2,OUTBOUND,2000,2009,2023,2035,2041,,,,,,,
3,OUTBOUND,2100,2109,2123,2135,2141,,,,,,,
4,OUTBOUND,2200,2209,2223,2235,2241,,,,,,,
5,OUTBOUND,2300,2309,2323,2335,2341,,,,,,,
6,OUTBOUND,2400,2409,2423,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
