SERVICE,1TWKD,,,,,,,,,,,,
LINE,10A,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,New Hope Commons,McFarland Dr at Witherspoon Blvd,University Dr at Westgate Dr (NB),Chapel Hill Rd at Palmer St,Durham Station ,,,,,,,
STOPID,,5663,1901,5261,5394,5774,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,516,520,532,543,555,,,,,,,
2,INBOUND,541,545,557,613,625,,,,,,,
3,INBOUND,616,620,632,643,655,,,,,,,
4,INBOUND,641,645,657,713,725,,,,,,,
5,INBOUND,716,720,732,743,755,,,,,,,
6,INBOUND,741,745,757,813,825,,,,,,,
7,INBOUND,816,820,832,843,855,,,,,,,
8,INBOUND,841,845,857,913,925,,,,,,,
9,INBOUND,916,920,932,943,955,,,,,,,
10,INBOUND,941,945,957,1013,1025,,,,,,,
11,INBOUND,1016,1020,1032,1043,1055,,,,,,,
12,INBOUND,1041,1045,1057,1113,1125,,,,,,,
13,INBOUND,1116,1120,1132,1143,1155,,,,,,,
14,INBOUND,1141,1145,1157,1213,1225,,,,,,,
15,INBOUND,1216,1220,1232,1243,1255,,,,,,,
16,INBOUND,1241,1245,1257,1313,1325,,,,,,,
17,INBOUND,1316,1320,1332,1343,1355,,,,,,,
18,INBOUND,1341,1345,1357,1413,1425,,,,,,,
19,INBOUND,1416,1420,1432,1443,1455,,,,,,,
20,INBOUND,1441,1445,1457,1513,1525,,,,,,,
21,INBOUND,1516,1520,1532,1543,1555,,,,,,,
22,INBOUND,1541,1545,1557,1613,1625,,,,,,,
23,INBOUND,1616,1620,1632,1643,1655,,,,,,,
24,INBOUND,1641,1645,1657,1713,1725,,,,,,,
25,INBOUND,1716,1720,1732,1743,1755,,,,,,,
26,INBOUND,1741,1745,1757,1813,1825,,,,,,,
27,INBOUND,1816,1820,1832,1843,1855,,,,,,,
