SERVICE,1TWKD,,,,,,,,,,,,
LINE,10A,,,,,,,,,,,,
DIRECTION,New Hope Commons,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Durham Station ,Chapel Hill Rd at Lakewood Shopping,University Dr at Westgate Dr (SB),Witherspoon Blvd P&R,New Hope Commons,,,,,,,
STOPID,,5774,5754,5133,6197,5663,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,600,609,618,635,641,,,,,,,
2,OUTBOUND,630,639,655,710,716,,,,,,,
3,OUTBOUND,700,709,718,735,741,,,,,,,
4,OUTBOUND,730,739,755,810,816,,,,,,,
5,OUTBOUND,800,809,818,835,841,,,,,,,
6,OUTBOUND,830,839,855,910,916,,,,,,,
7,OUTBOUND,900,909,918,935,941,,,,,,,
8,OUTBOUND,930,939,955,1010,1016,,,,,,,
9,OUTBOUND,1000,1009,1018,1035,1041,,,,,,,
10,OUTBOUND,1030,1039,1055,1110,1116,,,,,,,
11,OUTBOUND,1100,1109,1118,1135,1141,,,,,,,
12,OUTBOUND,1130,1139,1155,1210,1216,,,,,,,
13,OUTBOUND,1200,1209,1218,1235,1241,,,,,,,
14,OUTBOUND,1230,1239,1255,1310,1316,,,,,,,
15,OUTBOUND,1300,1309,1318,1335,1341,,,,,,,
16,OUTBOUND,1330,1339,1355,1410,1416,,,,,,,
17,OUTBOUND,1400,1409,1418,1435,1441,,,,,,,
18,OUTBOUND,1430,1439,1455,1510,1516,,,,,,,
19,OUTBOUND,1500,1509,1518,1535,1541,,,,,,,
20,OUTBOUND,1530,1539,1555,1610,1616,,,,,,,
21,OUTBOUND,1600,1609,1618,1635,1641,,,,,,,
22,OUTBOUND,1630,1639,1655,1710,1716,,,,,,,
23,OUTBOUND,1700,1709,1718,1735,1741,,,,,,,
24,OUTBOUND,1730,1739,1755,1810,1816,,,,,,,
25,OUTBOUND,1800,1809,1818,1835,1841,,,,,,,
26,OUTBOUND,1830,1839,1855,1907,1913,,,,,,,
