SERVICE,1TWKD,,,,,,,,,,,,
LINE,10B,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,,,,,
TPNAME,,Emerald Pond Ln at Pickett Rd,Chapel Hill Rd at Palmer St,Durham Station ,,,,,,,,,
STOPID,,5979,5394,5774,,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,643,658,710,,,,,,,,,
2,INBOUND,713,728,740,,,,,,,,,
3,INBOUND,743,758,810,,,,,,,,,
4,INBOUND,813,828,840,,,,,,,,,
5,INBOUND,843,858,910,,,,,,,,,
6,INBOUND,913,928,940,,,,,,,,,
7,INBOUND,943,958,1010,,,,,,,,,
8,INBOUND,1013,1028,1040,,,,,,,,,
9,INBOUND,1043,1058,1110,,,,,,,,,
10,INBOUND,1113,1128,1140,,,,,,,,,
11,INBOUND,1143,1158,1210,,,,,,,,,
12,INBOUND,1213,1228,1240,,,,,,,,,
13,INBOUND,1243,1258,1310,,,,,,,,,
14,INBOUND,1313,1328,1340,,,,,,,,,
15,INBOUND,1343,1358,1410,,,,,,,,,
16,INBOUND,1413,1428,1440,,,,,,,,,
17,INBOUND,1443,1458,1510,,,,,,,,,
18,INBOUND,1513,1528,1540,,,,,,,,,
19,INBOUND,1543,1558,1610,,,,,,,,,
20,INBOUND,1613,1628,1640,,,,,,,,,
21,INBOUND,1643,1658,1710,,,,,,,,,
22,INBOUND,1713,1728,1740,,,,,,,,,
23,INBOUND,1743,1758,1810,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
