SERVICE,1TWKD,,,,,,,,,,,,
LINE,10B,,,,,,,,,,,,
DIRECTION,Picket Road,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - South Square-New Hope Commons,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,,,
TPNAME,,Durham Station ,Chapel Hill Rd at Lakewood Shopping,Westgate Dr at Target,Emerald Pond Ln at Pickett Rd,,,,,,,,
STOPID,,5774,5754,5361,5979,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,615,624,635,643,,,,,,,,
2,OUTBOUND,715,724,735,743,,,,,,,,
3,OUTBOUND,745,754,805,813,,,,,,,,
4,OUTBOUND,815,824,835,843,,,,,,,,
5,OUTBOUND,845,854,905,913,,,,,,,,
6,OUTBOUND,915,924,935,943,,,,,,,,
7,OUTBOUND,945,954,1005,1013,,,,,,,,
8,OUTBOUND,1015,1024,1035,1043,,,,,,,,
9,OUTBOUND,1045,1054,1105,1113,,,,,,,,
10,OUTBOUND,1115,1124,1135,1143,,,,,,,,
11,OUTBOUND,1145,1154,1205,1213,,,,,,,,
12,OUTBOUND,1215,1224,1235,1243,,,,,,,,
13,OUTBOUND,1245,1254,1305,1313,,,,,,,,
14,OUTBOUND,1315,1324,1335,1343,,,,,,,,
15,OUTBOUND,1345,1354,1405,1413,,,,,,,,
16,OUTBOUND,1415,1424,1435,1443,,,,,,,,
17,OUTBOUND,1445,1454,1505,1513,,,,,,,,
18,OUTBOUND,1515,1524,1535,1543,,,,,,,,
19,OUTBOUND,1545,1554,1605,1613,,,,,,,,
20,OUTBOUND,1615,1624,1635,1643,,,,,,,,
21,OUTBOUND,1645,1654,1705,1713,,,,,,,,
22,OUTBOUND,1715,1724,1735,1743,,,,,,,,
23,OUTBOUND,1745,1754,1805,1813,,,,,,,,
24,OUTBOUND,1815,1824,1835,1843,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
