SERVICE,2TSAT,,,,,,,,,,,,
LINE,11,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Hillsborough Rd-Sparger Rd,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Sparger Rd at Food Lion,Hillsborough Rd at Cole Mill Rd,Fulton St at VA Hospital,Broad St at Markham St,Durham Station ,,,,,,,
STOPID,,5625,6335,6104,5465,5774,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,,527,536,543,555,,,,,,,
2,INBOUND,,627,636,643,655,,,,,,,
3,INBOUND,,727,736,743,755,,,,,,,
4,INBOUND,,827,836,843,855,,,,,,,
5,INBOUND,,927,936,943,955,,,,,,,
6,INBOUND,,1027,1036,1043,1055,,,,,,,
7,INBOUND,,1127,1136,1143,1155,,,,,,,
8,INBOUND,,1227,1236,1243,1255,,,,,,,
9,INBOUND,,1327,1336,1343,1355,,,,,,,
10,INBOUND,,1427,1436,1443,1455,,,,,,,
11,INBOUND,,1527,1536,1543,1555,,,,,,,
12,INBOUND,,1627,1636,1643,1655,,,,,,,
13,INBOUND,,1727,1736,1743,1755,,,,,,,
14,INBOUND,,1827,1836,1843,1855,,,,,,,
15,INBOUND,1926,1930,1938,1944,1955,,,,,,,
16,INBOUND,2026,2030,2038,2044,2055,,,,,,,
17,INBOUND,2126,2130,2138,2144,2155,,,,,,,
18,INBOUND,2226,2230,2238,2244,2255,,,,,,,
19,INBOUND,2326,2330,2338,2344,2355,,,,,,,
