SERVICE,"3TSUN, 4TRSA",,,,,
LINE,11,,,,,
DIRECTION,Durham Station,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Hillsborough Rd-Sparger Rd,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME
TPNAME,,Sparger Rd at Food Lion,Hillsborough Rd at Cole Mill Rd,Fulton St at VA Hospital,Broad St at Markham St,Durham Station 
STOPID,,5625,6335,6104,5465,5774
,,,,,,
RUNS,,,,,,
,,,,,,
1,INBOUND,626,630,638,644,655
2,INBOUND,726,730,738,744,755
3,INBOUND,826,830,838,844,855
4,INBOUND,926,930,938,944,955
5,INBOUND,1026,1030,1038,1044,1055
6,INBOUND,1126,1130,1138,1144,1155
7,INBOUND,1226,1230,1238,1244,1255
8,INBOUND,1326,1330,1338,1344,1355
9,INBOUND,1426,1430,1438,1444,1455
10,INBOUND,1526,1530,1538,1544,1555
11,INBOUND,1626,1630,1638,1644,1655
12,INBOUND,1726,1730,1738,1744,1755
13,INBOUND,1826,1830,1838,1844,1855
14,INBOUND,1926,1930,1938,1944,1955
15,INBOUND,2026,2030,2038,2044,2055
