SERVICE,1TWKD,,,,,,,,,,,,
LINE,11,,,,,,,,,,,,
DIRECTION,Duke / VA Hospitals,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Hillsborough Rd-Sparger Rd,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Durham Station ,Broad St at Markham Ave,Fulton St at VA Hospital,Hillsborough Rd at Cole Mill Rd,Hillsborough Rd at Neal Rd,Sparger Rd at Food Lion,,,,,,
STOPID,,5774,5801,5228,6335,5292,5625,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,600,609,615,627,,,,,,,,
2,OUTBOUND,630,639,645,657,,,,,,,,
3,OUTBOUND,700,709,715,727,,,,,,,,
4,OUTBOUND,730,739,745,757,,,,,,,,
5,OUTBOUND,800,809,815,827,,,,,,,,
6,OUTBOUND,830,839,845,857,,,,,,,,
7,OUTBOUND,900,909,915,927,,,,,,,,
8,OUTBOUND,930,939,945,957,,,,,,,,
9,OUTBOUND,1000,1009,1015,1027,,,,,,,,
10,OUTBOUND,1030,1039,1045,1057,,,,,,,,
11,OUTBOUND,1100,1109,1115,1127,,,,,,,,
12,OUTBOUND,1130,1139,1145,1157,,,,,,,,
13,OUTBOUND,1200,1209,1215,1227,,,,,,,,
14,OUTBOUND,1230,1239,1245,1257,,,,,,,,
15,OUTBOUND,1300,1309,1315,1327,,,,,,,,
16,OUTBOUND,1330,1339,1345,1357,,,,,,,,
17,OUTBOUND,1400,1409,1415,1427,,,,,,,,
18,OUTBOUND,1430,1439,1445,1457,,,,,,,,
19,OUTBOUND,1500,1509,1515,1527,,,,,,,,
20,OUTBOUND,1530,1539,1545,1557,,,,,,,,
21,OUTBOUND,1600,1609,1615,1627,,,,,,,,
22,OUTBOUND,1630,1639,1645,1657,,,,,,,,
23,OUTBOUND,1700,1709,1715,1727,,,,,,,,
24,OUTBOUND,1730,1739,1745,1757,,,,,,,,
25,OUTBOUND,1800,1809,1815,1827,,,,,,,,
26,OUTBOUND,1830,1839,1845,1857,,,,,,,,
27,OUTBOUND,1900,1908,1914,,1921,1926,,,,,,
28,OUTBOUND,2000,2008,2014,,2021,2026,,,,,,
29,OUTBOUND,2100,2108,2114,,2121,2126,,,,,,
30,OUTBOUND,2200,2208,2214,,2221,2226,,,,,,
31,OUTBOUND,2300,2308,2314,,2321,2326,,,,,,
32,OUTBOUND,2400,2408,2414,,2421,2426,,,,,,
