SERVICE,1TWKD,,,,,,,,,,,,
LINE,11,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Hillsborough Rd-Sparger Rd,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Sparger Rd at Food Lion,Hillsborough Rd at Cole Mill Rd,Fulton St at VA Hospital,Broad St at Markham St,Durham Station ,,,,,,,
STOPID,,5625,6335,6104,5465,5774,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,,527,536,543,555,,,,,,,
2,INBOUND,,557,606,613,625,,,,,,,
3,INBOUND,,627,636,643,655,,,,,,,
4,INBOUND,,657,706,713,725,,,,,,,
5,INBOUND,,727,736,743,755,,,,,,,
6,INBOUND,,757,806,813,825,,,,,,,
7,INBOUND,,827,836,843,855,,,,,,,
8,INBOUND,,857,906,913,925,,,,,,,
9,INBOUND,,927,936,943,955,,,,,,,
10,INBOUND,,957,1006,1013,1025,,,,,,,
11,INBOUND,,1027,1036,1043,1055,,,,,,,
12,INBOUND,,1057,1106,1113,1125,,,,,,,
13,INBOUND,,1127,1136,1143,1155,,,,,,,
14,INBOUND,,1157,1206,1213,1225,,,,,,,
15,INBOUND,,1227,1236,1243,1255,,,,,,,
16,INBOUND,,1257,1306,1313,1325,,,,,,,
17,INBOUND,,1327,1336,1343,1355,,,,,,,
18,INBOUND,,1357,1406,1413,1425,,,,,,,
19,INBOUND,,1427,1436,1443,1455,,,,,,,
20,INBOUND,,1457,1506,1513,1525,,,,,,,
21,INBOUND,,1527,1536,1543,1555,,,,,,,
22,INBOUND,,1557,1606,1613,1625,,,,,,,
23,INBOUND,,1627,1636,1643,1655,,,,,,,
24,INBOUND,,1657,1706,1713,1725,,,,,,,
25,INBOUND,,1727,1736,1743,1755,,,,,,,
26,INBOUND,,1757,1806,1813,1825,,,,,,,
27,INBOUND,,1827,1836,1843,1855,,,,,,,
28,INBOUND,1926,1930,1938,1944,1955,,,,,,,
29,INBOUND,2026,2030,2038,2044,2055,,,,,,,
30,INBOUND,2126,2130,2138,2144,2155,,,,,,,
31,INBOUND,2226,2230,2238,2244,2255,,,,,,,
32,INBOUND,2326,2330,2338,2344,2355,,,,,,,
