SERVICE,2TSAT,,,,,,,,,,,,
LINE,12,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - NC 55-NCCU-NC 54,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,,,
TPNAME,,NC 55 at Sedwick Dr,NC 54 at S Alston Ave (Westbound),NC 55 at Alston Ave (NCCU),Durham Station ,,,,,,,,
STOPID,,6278,1871,5435,5774,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,,528,540,555,,,,,,,,
2,INBOUND,,628,640,655,,,,,,,,
3,INBOUND,,728,740,755,,,,,,,,
4,INBOUND,,828,840,855,,,,,,,,
5,INBOUND,,928,940,955,,,,,,,,
6,INBOUND,,1028,1040,1055,,,,,,,,
7,INBOUND,,1128,1140,1155,,,,,,,,
8,INBOUND,,1228,1240,1255,,,,,,,,
9,INBOUND,,1328,1340,1355,,,,,,,,
10,INBOUND,,1428,1440,1455,,,,,,,,
11,INBOUND,,1528,1540,1555,,,,,,,,
12,INBOUND,,1628,1640,1655,,,,,,,,
13,INBOUND,,1728,1740,1755,,,,,,,,
14,INBOUND,,1828,1840,1855,,,,,,,,
15,INBOUND PM,1928,,1940,1955,,,,,,,,
16,INBOUND PM,2028,,2040,2055,,,,,,,,
17,INBOUND PM,2128,,2140,2155,,,,,,,,
18,INBOUND PM,2228,,2240,2255,,,,,,,,
19,INBOUND PM,2328,,2340,2355,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
