SERVICE,2TSAT,,,,,,,,,,,,
LINE,12,,,,,,,,,,,,
DIRECTION,South Alston Ave,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - NC 55-NCCU-NC 54,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,,,
TPNAME,,Durham Station ,Alston Ave at Cecil St (NCCU),NC 54 at S Alston Ave (Eastbound),NC 55 at Sedwick Dr,,,,,,,,
STOPID,,5774,5512,6274,6278,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,600,608,626,,,,,,,,,
2,OUTBOUND,700,708,726,,,,,,,,,
3,OUTBOUND,800,808,826,,,,,,,,,
4,OUTBOUND,900,908,926,,,,,,,,,
5,OUTBOUND,1000,1008,1026,,,,,,,,,
6,OUTBOUND,1100,1108,1126,,,,,,,,,
7,OUTBOUND,1200,1208,1226,,,,,,,,,
8,OUTBOUND,1300,1308,1326,,,,,,,,,
9,OUTBOUND,1400,1408,1426,,,,,,,,,
10,OUTBOUND,1500,1508,1526,,,,,,,,,
11,OUTBOUND,1600,1608,1626,,,,,,,,,
12,OUTBOUND,1700,1708,1726,,,,,,,,,
13,OUTBOUND,1800,1808,1826,,,,,,,,,
14,OUTBOUND PM,1900,1908,1923,1928,,,,,,,,
15,OUTBOUND PM,2000,2008,2023,2028,,,,,,,,
16,OUTBOUND PM,2100,2108,2123,2128,,,,,,,,
17,OUTBOUND PM,2200,2208,2223,2228,,,,,,,,
18,OUTBOUND PM,2300,2308,2323,2328,,,,,,,,
19,OUTBOUND PM,2400,2408,2423,2428,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
