SERVICE,"3TSUN, 4TRSA",,,,,,,,,,,,
LINE,12,,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - NC 55-NCCU-NC 54,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,,,,,
TPNAME,,NC 55 at Sedwick Dr,NC 55 at Alston Ave (NCCU),Durham Station ,,,,,,,,,
STOPID,,6278,5435,5774,,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,INBOUND,624,640,655,,,,,,,,,
2,INBOUND,724,740,755,,,,,,,,,
3,INBOUND,824,840,855,,,,,,,,,
4,INBOUND,924,940,955,,,,,,,,,
5,INBOUND,1024,1040,1055,,,,,,,,,
6,INBOUND,1124,1140,1155,,,,,,,,,
7,INBOUND PM,1228,1240,1255,,,,,,,,,
8,INBOUND PM,1328,1340,1355,,,,,,,,,
9,INBOUND PM,1428,1440,1455,,,,,,,,,
10,INBOUND PM,1528,1540,1555,,,,,,,,,
11,INBOUND PM,1628,1640,1655,,,,,,,,,
12,INBOUND PM,1728,1740,1755,,,,,,,,,
13,INBOUND PM,1828,1840,1855,,,,,,,,,
14,INBOUND PM,1928,1940,1955,,,,,,,,,
15,INBOUND PM,2028,2040,2055,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
