SERVICE,"3TSUN, 4TRSA",,,,,,,,,,,,
LINE,12,,,,,,,,,,,,
DIRECTION,South Alston Ave,,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,,
RTENAME,GoDurham - NC 55-NCCU-NC 54,,,,,,,,,,,,
,,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,,,
TPNAME,,Durham Station ,Alston Ave at Cecil St (NCCU),NC 54 at S Alston Ave (Eastbound),NC 55 at Sedwick Dr,,,,,,,,
STOPID,,5774,5512,6274,6278,,,,,,,,
,,,,,,,,,,,,,
RUNS,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,OUTBOUND,700,708,719,724,,,,,,,,
2,OUTBOUND,800,808,819,824,,,,,,,,
3,OUTBOUND,900,908,919,924,,,,,,,,
4,OUTBOUND,1000,1008,1019,1024,,,,,,,,
5,OUTBOUND,1100,1108,1119,1124,,,,,,,,
6,OUTBOUND PM,1200,1208,1223,1228,,,,,,,,
7,OUTBOUND PM,1300,1308,1323,1328,,,,,,,,
8,OUTBOUND PM,1400,1408,1423,1428,,,,,,,,
9,OUTBOUND PM,1500,1508,1523,1528,,,,,,,,
10,OUTBOUND PM,1600,1608,1623,1628,,,,,,,,
11,OUTBOUND PM,1700,1708,1723,1728,,,,,,,,
12,OUTBOUND PM,1800,1808,1823,1828,,,,,,,,
13,OUTBOUND PM,1900,1908,1923,1928,,,,,,,,
14,OUTBOUND PM,2000,2008,2023,2028,,,,,,,,
15,OUTBOUND PM,2100,2108,2123,2128,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
