SERVICE,1TWKD,,,,,,,
LINE,12B,,,,,,,
DIRECTION,Durham Station,,,,,,,
OPEN DATE,20160806,,,,,,,
CLOSE DATE,20170806,,,,,,,
RTENAME,GoDurham - NC 55-NCCU-NC 54,,,,,,,
,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,
TPNAME,,NC 54 at S Alston Ave (Eastbound),NC 54 at S Alston Ave (Westbound),NC 55 at Alston Ave (NCCU),Durham Station ,,,
STOPID,,6274,1871,5435,5774,,,
,,,,,,,,
RUNS,,,,,,,,
,,,,,,,,
1,INBOUND FIRST,,553,610,625,,,
2,INBOUND,652,653,710,725,,,
3,INBOUND,752,753,810,825,,,
4,INBOUND,852,853,910,925,,,
5,INBOUND,952,953,1010,1025,,,
6,INBOUND,1052,1053,1110,1125,,,
7,INBOUND,1152,1153,1210,1225,,,
8,INBOUND,1252,1253,1310,1325,,,
9,INBOUND,1352,1353,1410,1425,,,
10,INBOUND,1452,1453,1510,1525,,,
11,INBOUND,1552,1553,1610,1625,,,
12,INBOUND,1652,1653,1710,1725,,,
13,INBOUND,1752,1753,1810,1825,,,
