SERVICE,2TSAT,,,,,,,,
LINE,14,,,,,,,,
DIRECTION,Streets at Southpoint Mall,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - Fayetteville St-Woodcroft Pkwy-Southpoint Mall-Route 12,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,
TPNAME,,NC 54 at S Alston Ave (Westbound),NC 54 at S Alston Ave (Eastbound),NC 55 at Sedwick Dr,Fayetteville Rd at Crooked Creek Pk,Streets at Southpoint (Cinemas),,,
STOPID,,1871,6274,6278,5793,5956,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,WESTBOUND,,626,633,643,700,,,
2,WESTBOUND,,726,733,743,800,,,
3,WESTBOUND,,826,833,843,900,,,
4,WESTBOUND,,926,933,943,1000,,,
5,WESTBOUND,,1026,1033,1043,1100,,,
6,WESTBOUND,,1126,1133,1143,1200,,,
7,WESTBOUND,,1226,1233,1243,1300,,,
8,WESTBOUND,,1326,1333,1343,1400,,,
9,WESTBOUND,,1426,1433,1443,1500,,,
10,WESTBOUND,,1526,1533,1543,1600,,,
11,WESTBOUND,,1626,1633,1643,1700,,,
12,WESTBOUND,,1726,1733,1743,1800,,,
13,WESTBOUND,,1826,1833,1843,1900,,,
14,WEST PM,1900,,,,1915,,,
15,WEST PM,2000,,,,2015,,,
16,WEST PM,2100,,,,2115,,,
17,WEST PM,2200,,,,2215,,,
18,WEST PM,2300,,,,2315,,,
