SERVICE,"3TSUN, 4TRSA",,,,,,,,,
LINE,14,,,,,,,,,
DIRECTION,NC 54 at S Alston Ave,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Fayetteville St-Woodcroft Pkwy-Southpoint Mall-Route 12,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Streets at Southpoint (Cinemas),NC 751 at NC 54,NC 55 at Sedwick Dr (EB),NC 54 at S Alston Ave (Westbound),,,,,
STOPID,,5956,6578,6583,1871,,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,EAST,733,738,752,800,,,,,
2,EAST,833,838,852,900,,,,,
3,EAST,933,938,952,1000,,,,,
4,EAST,1033,1038,1052,1100,,,,,
5,EAST,1133,1138,1152,1200,,,,,
6,EAST,1233,1238,1252,1300,,,,,
7,EAST,1333,1338,1352,1400,,,,,
8,EAST,1433,1438,1452,1500,,,,,
9,EAST,1533,1538,1552,1600,,,,,
10,EAST,1633,1638,1652,1700,,,,,
11,EAST,1733,1738,1752,1800,,,,,
12,EAST,1833,1838,1852,1900,,,,,
13,EAST,1933,1938,1952,2000,,,,,
14,EAST,2033,2038,2052,2100,,,,,
15,EAST,2133,2138,2152,2200,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
