SERVICE,"3TSUN, 4TRSA",,,,,
LINE,14,,,,,
DIRECTION,Streets at Southpoint Mall,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - Fayetteville St-Woodcroft Pkwy-Southpoint Mall-Route 12,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,,,
TPNAME,,NC 54 at S Alston Ave (Westbound),Streets at Southpoint (Cinemas),,,
STOPID,,1871,5956,,,
,,,,,,
RUNS,,,,,,
,,,,,,
1,WEST,600,615,,,
2,WEST,700,715,,,
3,WEST,800,815,,,
4,WEST,900,915,,,
5,WEST,1000,1015,,,
6,WEST,1100,1115,,,
7,WEST,1200,1215,,,
8,WEST,1300,1315,,,
9,WEST,1400,1415,,,
10,WEST,1500,1515,,,
11,WEST,1600,1615,,,
12,WEST,1700,1715,,,
13,WEST,1800,1815,,,
14,WEST,1900,1915,,,
15,WEST,2000,2015,,,
,,,,,,
,,,,,,
,,,,,,
