SERVICE,2TSAT,,,,,,,,,,
LINE,15,,,,,,,,,,
DIRECTION,Brier Creek,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Brier Creek,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,,,
TPNAME,,Durham Station ,TW Alexander Dr at Miami Blvd,TW Alexander Dr at WakeMed (across),,,,,,,
STOPID,,5774,6267,6630,,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,OUTBOUND,600,615,626,,,,,,,
2,OUTBOUND,700,715,726,,,,,,,
3,OUTBOUND,800,815,826,,,,,,,
4,OUTBOUND,900,915,926,,,,,,,
5,OUTBOUND,1000,1015,1026,,,,,,,
6,OUTBOUND,1100,1115,1126,,,,,,,
7,OUTBOUND,1200,1215,1226,,,,,,,
8,OUTBOUND,1300,1315,1326,,,,,,,
9,OUTBOUND,1400,1415,1426,,,,,,,
10,OUTBOUND,1500,1515,1526,,,,,,,
11,OUTBOUND,1600,1615,1626,,,,,,,
12,OUTBOUND,1700,1715,1726,,,,,,,
14,OUTBOUND,1800,1815,1826,,,,,,,
15,OUTBOUND,1900,1915,1926,,,,,,,
16,OUTBOUND,2000,2015,2026,,,,,,,
17,OUTBOUND,2100,2115,2126,,,,,,,
18,OUTBOUND,2200,2215,2226,,,,,,,
19,OUTBOUND,2300,2315,2326,,,,,,,
20,OUTBOUND,2400,2415,2426,,,,,,,
