SERVICE,"3TSUN, 4TRSA",,,,,,,,,,
LINE,15,,,,,,,,,,
DIRECTION,Brier Creek,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Brier Creek,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,,,
TPNAME,,Durham Station ,TW Alexander Dr at Miami Blvd,TW Alexander Dr at WakeMed (across),,,,,,,
STOPID,,5774,6267,6630,,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,OUTBOUND,700,715,726,,,,,,,
2,OUTBOUND,800,815,826,,,,,,,
3,OUTBOUND,900,915,926,,,,,,,
4,OUTBOUND,1000,1015,1026,,,,,,,
5,OUTBOUND,1100,1115,1126,,,,,,,
6,OUTBOUND,1200,1215,1226,,,,,,,
7,OUTBOUND,1300,1315,1326,,,,,,,
8,OUTBOUND,1400,1415,1426,,,,,,,
9,OUTBOUND,1500,1515,1526,,,,,,,
10,OUTBOUND,1600,1615,1626,,,,,,,
11,OUTBOUND,1700,1715,1726,,,,,,,
12,OUTBOUND,1800,1815,1826,,,,,,,
14,OUTBOUND,1900,1915,1926,,,,,,,
15,OUTBOUND,2000,2015,2026,,,,,,,
16,OUTBOUND,2100,2115,2126,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
