SERVICE,1TWKD,,,,,,,,,,
LINE,15,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Brier Creek,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,,,
TPNAME,,TW Alexander Dr at WakeMed (across),Miami Blvd at TW Alexander Dr,Durham Station ,,,,,,,
STOPID,,6630,6272,5774,,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,INBOUND,526,535,555,,,,,,,
2,INBOUND,626,635,655,,,,,,,
3,INBOUND,726,735,755,,,,,,,
4,INBOUND,826,835,855,,,,,,,
5,INBOUND,926,935,955,,,,,,,
6,INBOUND,1026,1035,1055,,,,,,,
7,INBOUND,1126,1135,1155,,,,,,,
8,INBOUND,1226,1235,1255,,,,,,,
9,INBOUND,1326,1335,1355,,,,,,,
10,INBOUND,1426,1435,1455,,,,,,,
11,INBOUND,1526,1535,1555,,,,,,,
12,INBOUND,1626,1635,1655,,,,,,,
14,INBOUND,1726,1735,1755,,,,,,,
15,INBOUND,1826,1835,1855,,,,,,,
16,INBOUND,1926,1935,1955,,,,,,,
17,INBOUND,2026,2035,2055,,,,,,,
18,INBOUND,2126,2135,2155,,,,,,,
19,INBOUND,2226,2235,2255,,,,,,,
20,INBOUND,2326,2335,2355,,,,,,,
