SERVICE,2TSAT,,,,
LINE,1A,,,,
DIRECTION,Croasdaile Commons,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Northgate-North Pointe-Croasdaile Commons,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Club Blvd at Northgate Mall,North Pointe Dr at Kroger (OB),Hillandale Rd at Croasdaile Commons
STOPID,,5774,5178,5579,5590
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,600,609,619,625
2,OUTBOUND,700,709,719,725
3,OUTBOUND,800,809,819,825
4,OUTBOUND,900,909,919,925
5,OUTBOUND,1000,1009,1019,1025
6,OUTBOUND,1100,1109,1119,1125
7,OUTBOUND,1200,1209,1219,1225
8,OUTBOUND,1300,1309,1319,1325
9,OUTBOUND,1400,1409,1419,1425
10,OUTBOUND,1500,1509,1519,1525
11,OUTBOUND,1600,1609,1619,1625
12,OUTBOUND,1700,1709,1719,1725
13,OUTBOUND,1800,1809,1819,1825
