SERVICE,2TSAT,,,,
LINE,1A,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Northgate-North Pointe-Croasdaile Commons,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Hillandale Rd at Croasdaile Commons,North Pointe Dr at Kroger,Club Blvd at Dollar Ave,Durham Station 
STOPID,,5590,6109,5897,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,525,532,545,555
2,INBOUND,625,632,645,655
3,INBOUND,725,732,745,755
4,INBOUND,825,832,845,855
5,INBOUND,925,932,945,955
6,INBOUND,1025,1032,1045,1055
7,INBOUND,1125,1132,1145,1155
8,INBOUND,1225,1232,1245,1255
9,INBOUND,1325,1332,1345,1355
10,INBOUND,1425,1432,1445,1455
11,INBOUND,1525,1532,1545,1555
12,INBOUND,1625,1632,1645,1655
13,INBOUND,1725,1732,1745,1755
14,INBOUND,1825,1832,1845,1855
