SERVICE,2TSAT,,,,,,,,,
LINE,1B,,,,,,,,,
DIRECTION,Guess Road,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Northgate-North Pointe-Guess Road,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Durham Station ,Club Blvd at Northgate Mall,Guess Rd at Lamar St,Horton Rd at Guess Rd,,,,,
STOPID,,5774,5178,6106,6203,,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,OUTBOUND,630,639,644,655,,,,,
2,OUTBOUND,730,739,744,755,,,,,
3,OUTBOUND,830,839,844,855,,,,,
4,OUTBOUND,930,939,944,955,,,,,
5,OUTBOUND,1030,1039,1044,1055,,,,,
6,OUTBOUND,1130,1139,1144,1155,,,,,
7,OUTBOUND,1230,1239,1244,1255,,,,,
8,OUTBOUND,1330,1339,1344,1355,,,,,
9,OUTBOUND,1430,1439,1444,1455,,,,,
10,OUTBOUND,1530,1539,1544,1555,,,,,
11,OUTBOUND,1630,1639,1644,1655,,,,,
12,OUTBOUND,1730,1739,1744,1755,,,,,
13,OUTBOUND,1830,1839,1844,1855,,,,,
