SERVICE,1TWKD,,,,
LINE,1B,,,,
DIRECTION,Guess Road,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Northgate-North Pointe-Guess Road,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Horton Rd at Guess Rd,Guess Rd at Lamar St,Club Blvd at Dollar Ave,Durham Station 
STOPID,,6203,6114,5897,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,600,609,615,625
2,INBOUND,700,709,715,725
3,INBOUND,800,809,815,825
4,INBOUND,900,909,915,925
5,INBOUND,1000,1009,1015,1025
6,INBOUND,1100,1109,1115,1125
7,INBOUND,1200,1209,1215,1225
8,INBOUND,1300,1309,1315,1325
9,INBOUND,1400,1409,1415,1425
10,INBOUND,1500,1509,1515,1525
11,INBOUND,1600,1609,1615,1625
12,INBOUND,1700,1709,1715,1725
13,INBOUND,1800,1809,1815,1825
