SERVICE,2TSAT,,,,,,,
LINE,2,,,,,,,
DIRECTION,Angier Ave,,,,,,,
OPEN DATE,20160806,,,,,,,
CLOSE DATE,20170806,,,,,,,
RTENAME,GoDurham - East Durham-Angier Ave-The Village,,,,,,,
,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,
TPNAME,,Durham Station ,Angier Ave at Guthrie Ave,Page Rd at Angier Ave,,,,
STOPID,,5774,5335,5724,,,,
,,,,,,,,
RUNS,,,,,,,,
,,,,,,,,
1,OUTBOUND,1900,1912,1930,,,,
2,OUTBOUND,2000,2012,2030,,,,
3,OUTBOUND,2100,2112,2130,,,,
4,OUTBOUND,2200,2212,2230,,,,
5,OUTBOUND,2300,2312,2330,,,,
6,OUTBOUND,2400,2412,2430,,,,
