SERVICE,"3TSUN, 4TRSA",,,,
LINE,2,,,,
DIRECTION,Angier Ave,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - East Durham-Angier Ave-The Village,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Angier Ave at Guthrie Ave,Page Rd at Angier Ave,
STOPID,,5774,5335,5724,
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,700,712,730,
2,OUTBOUND,800,812,830,
3,OUTBOUND,900,912,930,
4,OUTBOUND,1000,1012,1030,
5,OUTBOUND,1100,1112,1130,
6,OUTBOUND,1200,1212,1230,
7,OUTBOUND,1300,1312,1330,
8,OUTBOUND,1400,1412,1430,
9,OUTBOUND,1500,1512,1530,
10,OUTBOUND,1600,1612,1630,
11,OUTBOUND,1700,1712,1730,
12,OUTBOUND,1800,1812,1830,
13,OUTBOUND,1900,1912,1930,
14,OUTBOUND,2000,2012,2030,
15,OUTBOUND,2100,2112,2130,
