SERVICE,1TWKD,,,,,,,,,,
LINE,20,,,,,,,,,,
DIRECTION,Duke / VA Hospitals,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Hope Valley Commons-South Square-Duke,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,,,
TPNAME,,Hope Valley Commons Park-and-Ride,University Dr at Westgate Dr (NB),Cameron Blvd at Science Dr,,,,,,,
STOPID,,6579,5261,6687,,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,INBOUND,620,629,638,,,,,,,
2,INBOUND,650,659,708,,,,,,,
3,INBOUND,720,729,738,,,,,,,
4,INBOUND,750,759,808,,,,,,,
5,INBOUND,820,829,838,,,,,,,
6,INBOUND,850,859,908,,,,,,,
7,INBOUND,920,929,938,,,,,,,
8,INBOUND,1515,1524,1533,,,,,,,
9,INBOUND,1545,1554,1603,,,,,,,
10,INBOUND,1615,1624,1633,,,,,,,
11,INBOUND,1645,1654,1703,,,,,,,
12,INBOUND,1715,1724,1733,,,,,,,
13,INBOUND,1745,1754,1803,,,,,,,
14,INBOUND,1815,1824,1833,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
