SERVICE,"3TSUN, 4TRSA",,,,
LINE,23,,,,
DIRECTION,East Durham Loop,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - The Village-NC 98 Loop-East Durham Loop,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Raynor St at The Village,Angier Ave at Guthrie Ave,Miami Blvd at Raynor St,Raynor St at The Village
STOPID,,5445,5310,6568,5445
,,,,,
RUNS,,,,,
,,,,,
1,EAST DURHAM,645,655,702,710
2,EAST DURHAM,745,755,802,810
3,EAST DURHAM,845,855,902,910
4,EAST DURHAM,945,955,1002,1010
5,EAST DURHAM,1045,1055,1102,1110
6,EAST DURHAM,1145,1155,1202,1210
7,EAST DURHAM,1245,1255,1302,1310
8,EAST DURHAM,1345,1355,1402,1410
9,EAST DURHAM,1445,1455,1502,1510
10,EAST DURHAM,1545,1555,1602,1610
11,EAST DURHAM,1645,1655,1702,1710
12,EAST DURHAM,1745,1755,1802,1810
13,EAST DURHAM,1845,1855,1902,1910
14,EAST DURHAM,1945,1955,2002,2010
15,EAST DURHAM,2045,2055,2102,2110
