SERVICE,1TWKD,,,,,,,,
LINE,23,,,,,,,,
DIRECTION,East Durham Loop,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - The Village-NC 98 Loop-East Durham Loop,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,
TPNAME,,Raynor St at The Village,Angier Ave at Guthrie Ave,Miami Blvd at Raynor St,Raynor St at The Village,,,,
STOPID,,5445,5310,6568,5445,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,EAST DURHAM,1945,1955,2002,2010,,,,
2,EAST DURHAM,2045,2055,2102,2110,,,,
3,EAST DURHAM,2145,2155,2202,2210,,,,
4,EAST DURHAM,2245,2255,2302,2310,,,,
5,EAST DURHAM,2345,2355,2402,2410,,,,
