SERVICE,1TWKD,,,,,,,,,,
LINE,23,,,,,,,,,,
DIRECTION,NC 98 Loop,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - The Village-NC 98 Loop-East Durham Loop,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Raynor St at The Village,Rummel St at Hwy 98,Freeman St at Clayton Rd,Raynor St at The Village,,,,,,
STOPID,,5445,5134,5233,5445,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,NC 98 LOOP,1913,1918,1928,1940,,,,,,
2,NC 98 LOOP,2013,2018,2028,2040,,,,,,
3,NC 98 LOOP,2113,2118,2128,2140,,,,,,
4,NC 98 LOOP,2213,2218,2228,2240,,,,,,
5,NC 98 LOOP,2313,2318,2328,2340,,,,,,
6,NC 98 LOOP,2413,2418,2428,2440,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
