SERVICE,1TWKD,,,,,,,
LINE,2A,,,,,,,
DIRECTION,Angier Avenue,,,,,,,
OPEN DATE,20160806,,,,,,,
CLOSE DATE,20170806,,,,,,,
RTENAME,GoDurham - East Durham-Angier Ave-The Village,,,,,,,
,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,
TPNAME,,Durham Station ,Angier Ave at Guthrie Ave,Page Rd at Angier Ave,,,,
STOPID,,5774,5335,5724,,,,
,,,,,,,,
RUNS,,,,,,,,
,,,,,,,,
1,OUTBOUND,600,612,630,,,,
2,OUTBOUND,700,712,730,,,,
3,OUTBOUND,800,812,830,,,,
4,OUTBOUND,900,912,930,,,,
5,OUTBOUND,1000,1012,1030,,,,
6,OUTBOUND,1100,1112,1130,,,,
7,OUTBOUND,1200,1212,1230,,,,
8,OUTBOUND,1300,1312,1330,,,,
9,OUTBOUND,1400,1412,1430,,,,
10,OUTBOUND,1500,1512,1530,,,,
11,OUTBOUND,1600,1612,1630,,,,
12,OUTBOUND,1700,1712,1730,,,,
13,OUTBOUND,1800,1812,1830,,,,
