SERVICE,2TSAT,,,,,
LINE,2B,,,,,
DIRECTION,Durham Station,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - East Durham-Angier Ave-The Village,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,
TPNAME,,Raynor St at The Village,Guthrie Ave at Angier Ave,Durham Station ,,
STOPID,,5445,6571,5774,,
,,,,,,
RUNS,,,,,,
,,,,,,
1,INBOUND,600,611,625,,
2,INBOUND,700,711,725,,
3,INBOUND,800,811,825,,
4,INBOUND,900,911,925,,
5,INBOUND,1000,1011,1025,,
6,INBOUND,1100,1111,1125,,
7,INBOUND,1200,1211,1225,,
8,INBOUND,1300,1311,1325,,
9,INBOUND,1400,1411,1425,,
10,INBOUND,1500,1511,1525,,
11,INBOUND,1600,1611,1625,,
12,INBOUND,1700,1711,1725,,
13,INBOUND,1800,1811,1825,,
14,INBOUND,1900,1911,,,
,,,,,,
