SERVICE,2TSAT,,,,,,,,,,,
LINE,2B,,,,,,,,,,,
DIRECTION,The Village,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,
RTENAME,GoDurham - East Durham-Angier Ave-The Village,,,,,,,,,,,
,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,,
TPNAME,,Durham Station ,Angier Ave at Guthrie Ave,Miami Blvd at Raynor St,Raynor St at The Village,,,,,,,
STOPID,,5774,5335,6568,5445,,,,,,,
,,,,,,,,,,,,
RUNS,,,,,,,,,,,,
,,,,,,,,,,,,
1,OUTBOUND,630,642,650,659,,,,,,,
2,OUTBOUND,730,742,750,759,,,,,,,
3,OUTBOUND,830,842,850,859,,,,,,,
4,OUTBOUND,930,942,950,959,,,,,,,
5,OUTBOUND,1030,1042,1050,1059,,,,,,,
6,OUTBOUND,1130,1142,1150,1159,,,,,,,
7,OUTBOUND,1230,1242,1250,1259,,,,,,,
8,OUTBOUND,1330,1342,1350,1359,,,,,,,
9,OUTBOUND,1430,1442,1450,1459,,,,,,,
10,OUTBOUND,1530,1542,1550,1559,,,,,,,
11,OUTBOUND,1630,1642,1650,1659,,,,,,,
12,OUTBOUND,1730,1742,1750,1759,,,,,,,
13,OUTBOUND,1830,1842,1850,1859,,,,,,,
