SERVICE,2TSAT,,,,,,,
LINE,3,,,,,,,
DIRECTION,The Village,,,,,,,
OPEN DATE,20160806,,,,,,,
CLOSE DATE,20170806,,,,,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,,,,,
,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,
TPNAME,,Durham Station ,Raynor St at The Village,Walmart at Glenview Station Stop 1,,,,
STOPID,,5774,6489,6291,,,,
,,,,,,,,
RUNS,,,,,,,,
,,,,,,,,
1,OUTBOUND,600,614,626,,,,
2,OUTBOUND,630,644,656,,,,
3,OUTBOUND,700,714,726,,,,
4,OUTBOUND,730,744,756,,,,
5,OUTBOUND,800,814,826,,,,
6,OUTBOUND,830,844,856,,,,
7,OUTBOUND,900,914,926,,,,
8,OUTBOUND,930,944,956,,,,
9,OUTBOUND,1000,1014,1026,,,,
10,OUTBOUND,1030,1044,1056,,,,
11,OUTBOUND,1100,1114,1126,,,,
12,OUTBOUND,1130,1144,1156,,,,
13,OUTBOUND,1200,1214,1226,,,,
14,OUTBOUND,1230,1244,1256,,,,
15,OUTBOUND,1300,1314,1326,,,,
16,OUTBOUND,1330,1344,1356,,,,
17,OUTBOUND,1400,1414,1426,,,,
18,OUTBOUND,1430,1444,1456,,,,
19,OUTBOUND,1500,1514,1526,,,,
20,OUTBOUND,1530,1544,1556,,,,
21,OUTBOUND,1600,1614,1626,,,,
22,OUTBOUND,1630,1644,1656,,,,
23,OUTBOUND,1700,1714,1726,,,,
24,OUTBOUND,1730,1744,1756,,,,
25,OUTBOUND,1800,1814,1826,,,,
26,OUTBOUND,1830,1844,1856,,,,
27,OUTBOUND,1900,1913,1926,,,,
28,OUTBOUND,2000,2013,2026,,,,
29,OUTBOUND,2100,2113,2126,,,,
30,OUTBOUND,2200,2213,2226,,,,
31,OUTBOUND,2300,2313,2326,,,,
32,OUTBOUND,2400,2413,2426,,,,
