SERVICE,"3TSUN, 4TRSA",,,
LINE,3,,,
DIRECTION,Durham Station,,,
OPEN DATE,20160806,,,
CLOSE DATE,20170806,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,
,,,,
TRIP,PATTERN,TIME,TIME,TIME
TPNAME,,Walmart at Glenview Station Stop 1,Raynor St at The Village,Durham Station 
STOPID,,6291,5445,5774
,,,,
RUNS,,,,
,,,,
1,INBOUND,630,642,655
2,INBOUND,730,742,755
3,INBOUND,830,842,855
4,INBOUND,930,942,955
5,INBOUND,1030,1042,1055
6,INBOUND,1130,1142,1155
7,INBOUND,1230,1242,1255
8,INBOUND,1330,1342,1355
9,INBOUND,1430,1442,1455
10,INBOUND,1530,1542,1555
11,INBOUND,1630,1642,1655
12,INBOUND,1730,1742,1755
13,INBOUND,1830,1842,1855
14,INBOUND,1930,1942,1955
15,INBOUND,2030,2042,2055
