SERVICE,"3TSUN, 4TRSA",,,
LINE,3,,,
DIRECTION,The Village,,,
OPEN DATE,20160806,,,
CLOSE DATE,20170806,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,
,,,,
TRIP,PATTERN,TIME,TIME,TIME
TPNAME,,Durham Station ,Raynor St at The Village,Walmart at Glenview Station Stop 1
STOPID,,5774,6489,6291
,,,,
RUNS,,,,
,,,,
1,OUTBOUND,700,713,726
2,OUTBOUND,800,813,826
3,OUTBOUND,900,913,926
4,OUTBOUND,1000,1013,1026
5,OUTBOUND,1100,1113,1126
6,OUTBOUND,1200,1213,1226
7,OUTBOUND,1300,1313,1326
8,OUTBOUND,1400,1413,1426
9,OUTBOUND,1500,1513,1526
10,OUTBOUND,1600,1613,1626
11,OUTBOUND,1700,1713,1726
12,OUTBOUND,1800,1813,1826
13,OUTBOUND,1900,1913,1926
14,OUTBOUND,2000,2013,2026
15,OUTBOUND,2100,2113,2126
