SERVICE,1TWKD,,,,,,,
LINE,3,,,,,,,
DIRECTION,Durham Station,,,,,,,
OPEN DATE,20160806,,,,,,,
CLOSE DATE,20170806,,,,,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,,,,,
,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,
TPNAME,,Walmart at Glenview Station Stop 1,Raynor St at The Village,Durham Station ,,,,
STOPID,,6291,5445,5774,,,,
,,,,,,,,
RUNS,,,,,,,,
,,,,,,,,
1,INBOUND,526,538,555,,,,
2,INBOUND,556,608,625,,,,
3,INBOUND,626,638,655,,,,
4,INBOUND,656,708,725,,,,
5,INBOUND,726,738,755,,,,
6,INBOUND,756,808,825,,,,
7,INBOUND,826,838,855,,,,
8,INBOUND,856,908,925,,,,
9,INBOUND,926,938,955,,,,
10,INBOUND,956,1008,1025,,,,
11,INBOUND,1026,1038,1055,,,,
12,INBOUND,1056,1108,1125,,,,
13,INBOUND,1126,1138,1155,,,,
14,INBOUND,1156,1208,1225,,,,
15,INBOUND,1226,1238,1255,,,,
16,INBOUND,1256,1308,1325,,,,
17,INBOUND,1326,1338,1355,,,,
18,INBOUND,1356,1408,1425,,,,
19,INBOUND,1426,1438,1455,,,,
20,INBOUND,1456,1508,1525,,,,
21,INBOUND,1526,1538,1555,,,,
22,INBOUND,1556,1608,1625,,,,
23,INBOUND,1626,1638,1655,,,,
24,INBOUND,1656,1708,1725,,,,
25,INBOUND,1726,1738,1755,,,,
26,INBOUND,1756,1808,1825,,,,
27,INBOUND,1826,1838,1855,,,,
28,INBOUND,1930,1942,1955,,,,
29,INBOUND,2030,2042,2055,,,,
30,INBOUND,2130,2142,2155,,,,
31,INBOUND,2230,2242,2255,,,,
32,INBOUND,2330,2342,2355,,,,
