SERVICE,2TSAT,,,
LINE,3B,,,
DIRECTION,Durham Station,,,
OPEN DATE,20160806,,,
CLOSE DATE,20170806,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,
,,,,
TRIP,PATTERN,TIME,TIME,TIME
TPNAME,,Freeman St at Clayton Rd,Raynor St at The Village,Durham Station 
STOPID,,5233,5445,5774
,,,,
RUNS,,,,
,,,,
1,INBOUND,513,523,540
2,INBOUND,613,623,640
3,INBOUND,713,723,740
4,INBOUND,813,823,840
5,INBOUND,913,923,940
6,INBOUND,1013,1023,1040
7,INBOUND,1113,1123,1140
8,INBOUND,1213,1223,1240
9,INBOUND,1313,1323,1340
10,INBOUND,1413,1423,1440
11,INBOUND,1513,1523,1540
12,INBOUND,1613,1623,1640
13,INBOUND,1713,1723,1740
14,INBOUND,1813,1823,1840
15,INBOUND,1913,1923,
