SERVICE,2TSAT,,,
LINE,3B,,,
DIRECTION,Southern High School,,,
OPEN DATE,20160806,,,
CLOSE DATE,20170806,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,
,,,,
TRIP,PATTERN,TIME,TIME,TIME
TPNAME,,Durham Station ,Raynor St at The Village,Freeman St at Clayton Rd
STOPID,,5774,6489,5233
,,,,
RUNS,,,,
,,,,
1,OUTBOUND,545,559,613
2,OUTBOUND,645,659,713
3,OUTBOUND,745,759,813
4,OUTBOUND,845,859,913
5,OUTBOUND,945,959,1013
6,OUTBOUND,1045,1059,1113
7,OUTBOUND,1145,1159,1213
8,OUTBOUND,1245,1259,1313
9,OUTBOUND,1345,1359,1413
10,OUTBOUND,1445,1459,1513
11,OUTBOUND,1545,1559,1613
12,OUTBOUND,1645,1659,1713
13,OUTBOUND,1745,1759,1813
14,OUTBOUND,1845,1859,1913
,,,,
