SERVICE,1TWKD,,,
LINE,3C,,,
DIRECTION,Durham Station,,,
OPEN DATE,20160806,,,
CLOSE DATE,20170806,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,
,,,,
TRIP,PATTERN,TIME,TIME,TIME
TPNAME,,Ivey Wood Ln at Springwood Park Apts,Raynor St at The Village,Durham Station 
STOPID,,6686,5445,5774
,,,,
RUNS,,,,
,,,,
1,INBOUND,541,553,610
2,INBOUND,641,653,710
3,INBOUND,741,753,810
4,INBOUND,841,853,910
5,INBOUND,941,953,1010
6,INBOUND,1041,1053,1110
7,INBOUND,1141,1153,1210
8,INBOUND,1241,1253,1310
9,INBOUND,1341,1353,1410
10,INBOUND,1441,1453,1510
11,INBOUND,1541,1553,1610
12,INBOUND,1641,1653,1710
13,INBOUND,1741,1753,1810
