SERVICE,1TWKD,,,,
LINE,3C,,,,
DIRECTION,NC 98 - Ivey Wood,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Raynor St at The Village,Rummel St at Hwy 98,Ivey Wood Ln at Springwood Park Apts
STOPID,,5774,6489,5134,6686
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,615,629,637,641
2,OUTBOUND,715,729,737,741
3,OUTBOUND,815,829,837,841
4,OUTBOUND,915,929,937,941
5,OUTBOUND,1015,1029,1037,1041
6,OUTBOUND,1115,1129,1137,1141
7,OUTBOUND,1215,1229,1237,1241
8,OUTBOUND,1315,1329,1337,1341
9,OUTBOUND,1415,1429,1437,1441
10,OUTBOUND,1515,1529,1537,1541
11,OUTBOUND,1615,1629,1637,1641
12,OUTBOUND,1715,1729,1737,1741
13,OUTBOUND,1815,1829,1837,1841
