SERVICE,3TSUN,,,,,,,,
LINE,3T,,,,,,,,
DIRECTION,Durham Station,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,
TPNAME,,Walmart at Glenview Station Stop 1,Raynor St at The Village,Durham Station ,,,,,
STOPID,,6291,5445,5774,,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,INBOUND,,1242,1255,,,,,
2,INBOUND,1330,1342,1355,,,,,
3,INBOUND,1430,1442,1455,,,,,
4,INBOUND,1530,1542,1555,,,,,
5,INBOUND,1630,1642,1655,,,,,
6,INBOUND,1730,1742,1755,,,,,
7,INBOUND,1830,1842,1855,,,,,
