SERVICE,"3TSUN, 4TRSA",,,,
LINE,4,,,,
DIRECTION,North Roxboro Road,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - N Roxboro Rd-Duke Hospital-N Duke Crossing,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Roxboro Rd at Foushee St,Duke Regional Hospital,Horton Rd at Roxboro Rd
STOPID,,5774,6315,5105,5654
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,700,714,720,726
2,OUTBOUND,800,814,820,826
3,OUTBOUND,900,914,920,926
4,OUTBOUND,1000,1014,1020,1026
5,OUTBOUND,1100,1114,1120,1126
6,OUTBOUND,1200,1214,1220,1226
7,OUTBOUND,1300,1314,1320,1326
8,OUTBOUND,1400,1414,1420,1426
9,OUTBOUND,1500,1514,1520,1526
10,OUTBOUND,1600,1614,1620,1626
11,OUTBOUND,1700,1714,1720,1726
12,OUTBOUND,1800,1814,1820,1826
13,OUTBOUND,1900,1914,1920,1926
14,OUTBOUND,2000,2014,2020,2026
15,OUTBOUND,2100,2114,2120,2126
