SERVICE,1TWKD,,,,,,,,,,
LINE,4,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - N Roxboro Rd-Duke Hospital-N Duke Crossing,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Horton Rd at Roxboro Rd,N Roxboro Rd at Duke Regional Hospital,Roxboro Rd at St Paul St,Durham Station ,,,,,,
STOPID,,5654,6155,5634,5774,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,INBOUND,528,532,539,555,,,,,,
2,INBOUND,558,602,609,625,,,,,,
3,INBOUND,628,632,639,655,,,,,,
4,INBOUND,658,702,709,725,,,,,,
5,INBOUND,728,732,739,755,,,,,,
6,INBOUND,758,802,809,825,,,,,,
7,INBOUND,828,832,839,855,,,,,,
8,INBOUND,858,902,909,925,,,,,,
9,INBOUND,928,932,939,955,,,,,,
10,INBOUND,958,1002,1009,1025,,,,,,
11,INBOUND,1028,1032,1039,1055,,,,,,
12,INBOUND,1058,1102,1109,1125,,,,,,
13,INBOUND,1128,1132,1139,1155,,,,,,
14,INBOUND,1158,1202,1209,1225,,,,,,
15,INBOUND,1228,1232,1239,1255,,,,,,
16,INBOUND,1258,1302,1309,1325,,,,,,
17,INBOUND,1328,1332,1339,1355,,,,,,
18,INBOUND,1358,1402,1409,1425,,,,,,
19,INBOUND,1428,1432,1439,1455,,,,,,
20,INBOUND,1458,1502,1509,1525,,,,,,
21,INBOUND,1528,1532,1539,1555,,,,,,
22,INBOUND,1558,1602,1609,1625,,,,,,
23,INBOUND,1628,1632,1639,1655,,,,,,
24,INBOUND,1658,1702,1709,1725,,,,,,
25,INBOUND,1728,1732,1739,1755,,,,,,
26,INBOUND,1758,1802,1809,1825,,,,,,
27,INBOUND,1828,1832,1839,1855,,,,,,
28,INBOUND,1931,1935,1941,1955,,,,,,
29,INBOUND,2031,2035,2041,2055,,,,,,
30,INBOUND,2131,2135,2141,2155,,,,,,
31,INBOUND,2231,2235,2241,2255,,,,,,
32,INBOUND,2331,2335,2341,2355,,,,,,
