SERVICE,1TWKD,,,,,,,,,,
LINE,4,,,,,,,,,,
DIRECTION,North Roxboro Road,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - N Roxboro Rd-Duke Hospital-N Duke Crossing,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Durham Station ,Roxboro Rd at Foushee St,Duke Regional Hospital,Horton Rd at Roxboro Rd,,,,,,
STOPID,,5774,6315,5105,5654,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,OUTBOUND,600,614,622,628,,,,,,
2,OUTBOUND,630,644,652,658,,,,,,
3,OUTBOUND,700,714,722,728,,,,,,
4,OUTBOUND,730,744,752,758,,,,,,
5,OUTBOUND,800,814,822,828,,,,,,
6,OUTBOUND,830,844,852,858,,,,,,
7,OUTBOUND,900,914,922,928,,,,,,
8,OUTBOUND,930,944,952,958,,,,,,
9,OUTBOUND,1000,1014,1022,1028,,,,,,
10,OUTBOUND,1030,1044,1052,1058,,,,,,
11,OUTBOUND,1100,1114,1122,1128,,,,,,
12,OUTBOUND,1130,1144,1152,1158,,,,,,
13,OUTBOUND,1200,1214,1222,1228,,,,,,
14,OUTBOUND,1230,1244,1252,1258,,,,,,
15,OUTBOUND,1300,1314,1322,1328,,,,,,
16,OUTBOUND,1330,1344,1352,1358,,,,,,
17,OUTBOUND,1400,1414,1422,1428,,,,,,
18,OUTBOUND,1430,1444,1452,1458,,,,,,
19,OUTBOUND,1500,1514,1522,1528,,,,,,
20,OUTBOUND,1530,1544,1552,1558,,,,,,
21,OUTBOUND,1600,1614,1622,1628,,,,,,
22,OUTBOUND,1630,1644,1652,1658,,,,,,
23,OUTBOUND,1700,1714,1722,1728,,,,,,
24,OUTBOUND,1730,1744,1752,1758,,,,,,
25,OUTBOUND,1800,1814,1822,1828,,,,,,
26,OUTBOUND,1830,1844,1852,1858,,,,,,
27,OUTBOUND,1900,1914,1920,1926,,,,,,
28,OUTBOUND,2000,2014,2020,2026,,,,,,
29,OUTBOUND,2100,2114,2120,2126,,,,,,
30,OUTBOUND,2200,2214,2220,2226,,,,,,
31,OUTBOUND,2300,2314,2320,2326,,,,,,
32,OUTBOUND,2400,2414,2420,2426,,,,,,
