SERVICE,"3TSUN, 4TRSA",,,,
LINE,5,,,,
DIRECTION,Streets at Southpoint,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Fayetteville St-NCCU-Streets at Southpoint,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Fayetteville St at Brant St (NCCU),Fayetteville Rd at Southpoint Cross,Streets at Southpoint (Cinemas)
STOPID,,5774,5931,5517,5956
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,700,709,724,733
2,OUTBOUND,800,809,824,833
3,OUTBOUND,900,909,924,933
4,OUTBOUND,1000,1009,1024,1033
5,OUTBOUND,1100,1109,1124,1133
6,OUTBOUND,1200,1209,1224,1233
7,OUTBOUND,1300,1309,1324,1333
8,OUTBOUND,1400,1409,1424,1433
9,OUTBOUND,1500,1509,1524,1533
10,OUTBOUND,1600,1609,1624,1633
11,OUTBOUND,1700,1709,1724,1733
12,OUTBOUND,1800,1809,1824,1833
13,OUTBOUND,1900,1909,1924,1933
14,OUTBOUND,2000,2009,2024,2033
15,OUTBOUND,2100,2109,2124,2133
