SERVICE,1TWKD,,,,,,,,,,
LINE,5,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Fayetteville St-NCCU-Streets at Southpoint,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Streets at Southpoint (Cinemas),NC 751 at NC 54,Fayetteville Rd at Crooked Creek Pk,Fayetteville St at Lawson St (NCCU),Durham Station ,,,,,
STOPID,,5956,6578,5793,6023,5774,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,INBOUND,,,524,543,555,,,,,
2,INBOUND,535,545,554,613,625,,,,,
3,INBOUND,605,615,624,643,655,,,,,
4,INBOUND,635,645,654,713,725,,,,,
5,INBOUND,705,715,724,743,755,,,,,
6,INBOUND,735,745,754,813,825,,,,,
7,INBOUND,805,815,824,843,855,,,,,
8,INBOUND,835,845,854,913,925,,,,,
9,INBOUND,905,915,924,943,955,,,,,
10,INBOUND,935,945,954,1013,1025,,,,,
11,INBOUND,1005,1015,1024,1043,1055,,,,,
12,INBOUND,1035,1045,1054,1113,1125,,,,,
13,INBOUND,1105,1115,1124,1143,1155,,,,,
14,INBOUND,1135,1145,1154,1213,1225,,,,,
15,INBOUND,1205,1215,1224,1243,1255,,,,,
16,INBOUND,1235,1245,1254,1313,1325,,,,,
17,INBOUND,1305,1315,1324,1343,1355,,,,,
18,INBOUND,1335,1345,1354,1413,1425,,,,,
19,INBOUND,1405,1415,1424,1443,1455,,,,,
20,INBOUND,1435,1445,1454,1513,1525,,,,,
21,INBOUND,1505,1515,1524,1543,1555,,,,,
22,INBOUND,1535,1545,1554,1613,1625,,,,,
23,INBOUND,1605,1615,1624,1643,1655,,,,,
24,INBOUND,1635,1645,1654,1713,1725,,,,,
25,INBOUND,1705,1715,1724,1743,1755,,,,,
26,INBOUND,1735,1745,1754,1813,1825,,,,,
27,INBOUND,1805,1815,1824,1843,1855,,,,,
28,INBOUND,1835,1840,1849,,,,,,,
29,INBOUND,1905,1910,1919,,,,,,,
30,INBOUND,1919,,1926,1943,1955,,,,,
31,INBOUND,2019,,2026,2043,2055,,,,,
32,INBOUND,2119,,2126,2143,2155,,,,,
33,INBOUND,2219,,2226,2243,2255,,,,,
34,INBOUND,2319,,2326,2343,2355,,,,,
