SERVICE,1TWKD,,,,,,,,,,
LINE,5,,,,,,,,,,
DIRECTION,Streets at Southpoint,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Fayetteville St-NCCU-Streets at Southpoint,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Durham Station ,Fayetteville St at Brant St (NCCU),Fayetteville Rd at Southpoint Cross,Streets at Southpoint (Cinemas),,,,,,
STOPID,,5774,5931,5517,5956,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,OUTBOUND,600,609,624,635,,,,,,
2,OUTBOUND,630,639,654,705,,,,,,
3,OUTBOUND,700,709,724,735,,,,,,
4,OUTBOUND,730,739,754,805,,,,,,
5,OUTBOUND,800,809,824,835,,,,,,
6,OUTBOUND,830,839,854,905,,,,,,
7,OUTBOUND,900,909,924,935,,,,,,
8,OUTBOUND,930,939,954,1005,,,,,,
9,OUTBOUND,1000,1009,1024,1035,,,,,,
10,OUTBOUND,1030,1039,1054,1105,,,,,,
11,OUTBOUND,1100,1109,1124,1135,,,,,,
12,OUTBOUND,1130,1139,1154,1205,,,,,,
13,OUTBOUND,1200,1209,1224,1235,,,,,,
14,OUTBOUND,1230,1239,1254,1305,,,,,,
15,OUTBOUND,1300,1309,1324,1335,,,,,,
16,OUTBOUND,1330,1339,1354,1405,,,,,,
17,OUTBOUND,1400,1409,1424,1435,,,,,,
18,OUTBOUND,1430,1439,1454,1505,,,,,,
19,OUTBOUND,1500,1509,1524,1535,,,,,,
20,OUTBOUND,1530,1539,1554,1605,,,,,,
21,OUTBOUND,1600,1609,1624,1635,,,,,,
22,OUTBOUND,1630,1639,1654,1705,,,,,,
23,OUTBOUND,1700,1709,1724,1735,,,,,,
24,OUTBOUND,1730,1739,1754,1805,,,,,,
25,OUTBOUND,1800,1809,1824,1835,,,,,,
26,OUTBOUND,1830,1839,1854,1905,,,,,,
27,OUTBOUND,1900,1909,1924,1933,,,,,,
28,OUTBOUND,2000,2009,2024,2033,,,,,,
29,OUTBOUND,2100,2109,2124,2133,,,,,,
30,OUTBOUND,2200,2209,2224,2233,,,,,,
31,OUTBOUND,2300,2309,2324,2333,,,,,,
32,OUTBOUND,2400,2409,2424,2433,,,,,,
