SERVICE,1TWKD,,,,,,
LINE,5K,,,,,,
DIRECTION,Stratford Lakes Drive,,,,,,
OPEN DATE,20160806,,,,,,
CLOSE DATE,20170806,,,,,,
RTENAME,GoDurham - Fayetteville St-NCCU-Stratford Lakes Dr,,,,,,
,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,
TPNAME,,Durham Station ,Fayetteville St at Brant St (NCCU),Stratford Lakes Dr at Fayetteville ,,,
STOPID,,5774,5931,6646,,,
,,,,,,,
RUNS,,,,,,,
,,,,,,,
1,OUTBOUND,715,724,739,,,
2,OUTBOUND,745,754,809,,,
3,OUTBOUND,815,824,839,,,
4,OUTBOUND,845,854,909,,,
5,OUTBOUND,915,924,939,,,
6,OUTBOUND,945,954,1009,,,
7,OUTBOUND,1015,1024,1039,,,
8,OUTBOUND,1045,1054,1109,,,
9,OUTBOUND,1115,1124,1139,,,
10,OUTBOUND,1145,1154,1209,,,
11,OUTBOUND,1215,1224,1239,,,
12,OUTBOUND,1245,1254,1309,,,
13,OUTBOUND,1315,1324,1339,,,
14,OUTBOUND,1345,1354,1409,,,
15,OUTBOUND,1415,1424,1439,,,
16,OUTBOUND,1445,1454,1509,,,
17,OUTBOUND,1515,1524,1539,,,
18,OUTBOUND,1545,1554,1609,,,
19,OUTBOUND,1615,1624,1639,,,
20,OUTBOUND,1645,1654,1709,,,
21,OUTBOUND,1715,1724,1739,,,
22,OUTBOUND,1745,1754,1809,,,
