SERVICE,1TWKD,,,,,,,,,
LINE,6,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-American Village,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Constitution Dr at Forest Apts,Morreene Rd at Glasson St,Erwin Rd at Duke Hospital,Durham Station ,,,,,
STOPID,,5398,6551,6012,5774,,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,INBOUND,529,534,540,555,,,,,
2,INBOUND,629,634,640,655,,,,,
3,INBOUND,729,734,740,755,,,,,
4,INBOUND,829,834,840,855,,,,,
5,INBOUND,929,934,940,955,,,,,
6,INBOUND,1029,1034,1040,1055,,,,,
7,INBOUND,1129,1134,1140,1155,,,,,
8,INBOUND,1229,1234,1240,1255,,,,,
9,INBOUND,1329,1334,1340,1355,,,,,
10,INBOUND,1429,1434,1440,1455,,,,,
11,INBOUND,1529,1534,1540,1555,,,,,
12,INBOUND,1629,1634,1640,1655,,,,,
13,INBOUND,1729,1734,1740,1755,,,,,
14,INBOUND,1829,1834,1840,1855,,,,,
15,INBOUND,1929,1934,1940,1955,,,,,
16,INBOUND,2029,2034,2040,2055,,,,,
17,INBOUND,2129,2134,2140,2155,,,,,
18,INBOUND,2229,2234,2240,2255,,,,,
19,INBOUND,2329,2334,2340,2355,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
