SERVICE,1TWKD,,,,,,,,,
LINE,6B,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Sparger Road,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Sparger Rd at Food Lion,Morreene Rd at Glasson St,Erwin Rd at Duke Hospital,Durham Station ,,,,,
STOPID,,5625,6551,6012,5774,,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,INBOUND PEAK,556,605,610,625,,,,,
2,INBOUND PEAK,656,705,710,725,,,,,
3,INBOUND PEAK,756,805,810,825,,,,,
4,INBOUND PEAK,856,905,910,925,,,,,
5,INBOUND OFF,956,1005,1010,1025,,,,,
6,INBOUND OFF,1056,1105,1110,1125,,,,,
7,INBOUND OFF,1156,1205,1210,1225,,,,,
8,INBOUND OFF,1256,1305,1310,1325,,,,,
9,INBOUND OFF,1356,1405,1410,1425,,,,,
10,INBOUND OFF,1456,1505,1510,1525,,,,,
11,INBOUND PEAK,1556,1605,1610,1625,,,,,
12,INBOUND PEAK,1656,1705,1710,1725,,,,,
13,INBOUND PEAK,1756,1805,1810,1825,,,,,
