SERVICE,1WKD,,,,,,,,
LINE,6B,,,,,,,,
DIRECTION,Sparger Road,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Sparger Road,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,
TPNAME,,Durham Station ,Erwin Rd at VA Hospital,Morreene Rd at Glasson St ,Sparger Rd at Food Lion,,,,
STOPID,,5774,1105,6657,5625,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,OUTBOUND,630,644,648,656,,,,
2,OUTBOUND,730,744,748,756,,,,
3,OUTBOUND,830,844,848,856,,,,
4,OUTBOUND,930,944,948,956,,,,
5,OUTBOUND,1030,1044,1048,1056,,,,
6,OUTBOUND,1130,1144,1148,1156,,,,
7,OUTBOUND,1230,1244,1248,1256,,,,
8,OUTBOUND,1330,1344,1348,1356,,,,
9,OUTBOUND,1430,1444,1448,1456,,,,
10,OUTBOUND,1530,1544,1548,1556,,,,
11,OUTBOUND,1630,1644,1648,1656,,,,
12,OUTBOUND,1730,1744,1748,1756,,,,
13,OUTBOUND,1830,1844,1848,1856,,,,
