SERVICE,2TSAT,,,,,,,,,
LINE,7,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Forest Hills-Weaver St-MLK Jr Pkwy,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,
TPNAME,,S Roxboro St at Kroger,Fayetteville Rd at Hillside High Sc,University Dr at Forest Hills Shops (IB),Durham Station ,,,,,
STOPID,,6591,6257,5519,5774,,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,INBOUND,526,534,546,555,,,,,
2,INBOUND,556,604,616,625,,,,,
3,INBOUND,626,634,646,655,,,,,
4,INBOUND,656,704,716,725,,,,,
5,INBOUND,726,734,746,755,,,,,
6,INBOUND,756,804,816,825,,,,,
7,INBOUND,826,834,846,855,,,,,
8,INBOUND,856,904,916,925,,,,,
9,INBOUND,926,934,946,955,,,,,
10,INBOUND,956,1004,1016,1025,,,,,
11,INBOUND,1026,1034,1046,1055,,,,,
12,INBOUND,1056,1104,1116,1125,,,,,
13,INBOUND,1126,1134,1146,1155,,,,,
14,INBOUND,1156,1204,1216,1225,,,,,
15,INBOUND,1226,1234,1246,1255,,,,,
16,INBOUND,1256,1304,1316,1325,,,,,
17,INBOUND,1326,1334,1346,1355,,,,,
18,INBOUND,1356,1404,1416,1425,,,,,
19,INBOUND,1426,1434,1446,1455,,,,,
20,INBOUND,1456,1504,1516,1525,,,,,
21,INBOUND,1526,1534,1546,1555,,,,,
22,INBOUND,1556,1604,1616,1625,,,,,
23,INBOUND,1626,1634,1646,1655,,,,,
24,INBOUND,1656,1704,1716,1725,,,,,
25,INBOUND,1726,1734,1746,1755,,,,,
26,INBOUND,1756,1804,1816,1825,,,,,
27,INBOUND,1826,1834,1846,1855,,,,,
28,INBOUND,1926,1934,1946,1955,,,,,
29,INBOUND,2026,2034,2046,2055,,,,,
30,INBOUND,2126,2134,2146,2155,,,,,
31,INBOUND,2226,2234,2246,2255,,,,,
32,INBOUND,2326,2334,2346,2355,,,,,
