SERVICE,"3TSUN, 4TRSA",,,,
LINE,7,,,,
DIRECTION,South Roxboro Street,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Forest Hills-Weaver St-MLK Jr Pkwy,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,University Dr at Forest Hills Shops,Fayetteville St at Cook Rd (Hillsid,S Roxboro St at Kroger
STOPID,,5774,5864,6256,6591
,,,,,
RUNS,,,,,
,,,,,
1,OUTBOUND,700,704,717,726
2,OUTBOUND,800,804,817,826
3,OUTBOUND,900,904,917,926
4,OUTBOUND,1000,1004,1017,1026
5,OUTBOUND,1100,1104,1117,1126
6,OUTBOUND,1200,1204,1217,1226
7,OUTBOUND,1300,1304,1317,1326
8,OUTBOUND,1400,1404,1417,1426
9,OUTBOUND,1500,1504,1517,1526
10,OUTBOUND,1600,1604,1617,1626
11,OUTBOUND,1700,1704,1717,1726
12,OUTBOUND,1800,1804,1817,1826
13,OUTBOUND,1900,1904,1917,1926
14,OUTBOUND,2000,2004,2017,2026
15,OUTBOUND,2100,2104,2117,2126
