SERVICE,1TWKD,,,,,,,,,
LINE,7,,,,,,,,,
DIRECTION,South Roxboro Street,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Forest Hills-Weaver St-MLK Jr Pkwy,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Durham Station ,University Dr at Forest Hills Shops,Fayetteville St at Cook Rd (Hillsid,S Roxboro St at Kroger,,,,,
STOPID,,5774,5864,6256,6591,,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,OUTBOUND,600,604,617,626,,,,,
2,OUTBOUND,630,634,647,656,,,,,
3,OUTBOUND,700,704,717,726,,,,,
4,OUTBOUND,730,734,747,756,,,,,
5,OUTBOUND,800,804,817,826,,,,,
6,OUTBOUND,830,834,847,856,,,,,
7,OUTBOUND,900,904,917,926,,,,,
8,OUTBOUND,930,934,947,956,,,,,
9,OUTBOUND,1000,1004,1017,1026,,,,,
10,OUTBOUND,1030,1034,1047,1056,,,,,
11,OUTBOUND,1100,1104,1117,1126,,,,,
12,OUTBOUND,1130,1134,1147,1156,,,,,
13,OUTBOUND,1200,1204,1217,1226,,,,,
14,OUTBOUND,1230,1234,1247,1256,,,,,
15,OUTBOUND,1300,1304,1317,1326,,,,,
16,OUTBOUND,1330,1334,1347,1356,,,,,
17,OUTBOUND,1400,1404,1417,1426,,,,,
18,OUTBOUND,1430,1434,1447,1456,,,,,
19,OUTBOUND,1500,1504,1517,1526,,,,,
20,OUTBOUND,1530,1534,1547,1556,,,,,
21,OUTBOUND,1600,1604,1617,1626,,,,,
22,OUTBOUND,1630,1634,1647,1656,,,,,
23,OUTBOUND,1700,1704,1717,1726,,,,,
24,OUTBOUND,1730,1734,1747,1756,,,,,
25,OUTBOUND,1800,1804,1817,1826,,,,,
26,OUTBOUND,1830,1834,1847,1856,,,,,
27,OUTBOUND,1900,1904,1917,1926,,,,,
28,OUTBOUND,2000,2004,2017,2026,,,,,
29,OUTBOUND,2100,2104,2117,2126,,,,,
30,OUTBOUND,2200,2204,2217,2226,,,,,
31,OUTBOUND,2300,2304,2317,2326,,,,,
32,OUTBOUND,2400,2404,2417,2426,,,,,
