SERVICE,2TSAT,,,,
LINE,8,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Lawson St-NCCU-Durham Tech CC,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Capps St at S Alston Ave,Lawson St at Durham Tech (IB),Lawson St at Merrick St ,Durham Station 
STOPID,,6398,5773,6598,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,529,535,542,555
2,INBOUND,629,635,642,655
3,INBOUND,729,735,742,755
4,INBOUND,829,835,842,855
5,INBOUND,929,935,942,955
6,INBOUND,1029,1035,1042,1055
7,INBOUND,1129,1135,1142,1155
8,INBOUND,1229,1235,1242,1255
9,INBOUND,1329,1335,1342,1355
10,INBOUND,1429,1435,1442,1455
11,INBOUND,1529,1535,1542,1555
12,INBOUND,1629,1635,1642,1655
13,INBOUND,1729,1735,1742,1755
14,INBOUND,1829,1835,1842,1855
15,INBOUND,1930,1936,1943,1955
16,INBOUND,2030,2036,2043,2055
17,INBOUND,2130,2136,2143,2155
18,INBOUND,2230,2236,2243,2255
19,INBOUND,2330,2336,2343,2355
